Name,Latitude,Longitude
Nainital Lake,29.38720134,79.45963149
Nainital Zoo,29.38090998,79.46867456
Aerial Ropeway ,29.39586419,79.46210907
Naina Devi Temple,29.3892807,79.45426192
Mall Road,29.39166549,79.4558988
Tiffin Top,29.38381575,79.45061444
Raj Bhawan,29.37398793,79.45669812
Kilbury,29.39075628,79.44262372
Snow View Point,29.39518769,79.46146135
Gurney House,29.38848618,79.45060504
Eco Cave Gardens,29.39233329,79.44528804
Tibetan and Bhotia Market,29.38949497,79.45265619
Naina Peak,29.40938303,79.4394203
ARIES,29.3593894,79.45863681
Kainchi Dam,29.42254155,79.51312901
Hanuman Garhi,29.36551099,79.45884815
Aurobindo Ashram,29.38811273,79.44242467
Nanina Devi Bird Reserve,29.41499238,79.45118368
Sariyatal,29.37958541,79.43131859
Khurpatal,29.37477287,79.429318
Sukha Tal Lake,29.37481027,79.4437275
